url,brand,first_reg,type,body_type,engine,fuel,mileage,drive_type,gearbox,color,price
https://www.auto24.ee/soidukid/3820308,Skoda Fabia HB Monte Carlo,2025,sõiduauto,luukpära,1.0 TSI 85kW,bensiin,5,esivedu,automaat (DSG),"valge met. (Valge metallik, Moon White)",22400
https://www.auto24.ee/soidukid/4205160,Volvo S90,2017,sõiduauto,sedaan,2.0 173kW,diisel,140000,nelikvedu,automaat,sinine,22400
https://www.auto24.ee/soidukid/4221324,Volvo V90 Polestar R-Design MY2020,2019,sõiduauto,universaal,2.0 177kW,diisel,244000,nelikvedu,automaat (Geartronic 8k),valge met.,22400
https://www.auto24.ee/soidukid/4241867,Mercedes-Benz E 200 amg,2020,sõiduauto,universaal,1.6 118kW,diisel,225000,tagavedu,automaat,hall,22450
https://www.auto24.ee/soidukid/4238276,SEAT Ateca FR,2021,maastur,universaal,1.5 110kW,bensiin,98800,esivedu,automaat,must,22450
https://www.auto24.ee/soidukid/4168119,Audi A6,2019,sõiduauto,universaal,2.0 150kW,diisel,194000,esivedu,automaat,valge,22490
https://www.auto24.ee/soidukid/4186513,BMW 318 Executive Sport,2020,sõiduauto,sedaan,2.0 110kW,diisel,163000,tagavedu,automaat,hall,22490
https://www.auto24.ee/soidukid/4229540,Ford Ranger Wildtrak,2016,maastur,pikap,3.2 147kW,diisel,155320,nelikvedu,automaat,hall,22490
https://www.auto24.ee/soidukid/4213249,Mercedes-Benz E 350 4 MATIC,2017,sõiduauto,universaal,3.0 190kW,diisel,160250,nelikvedu,automaat (9-SPEED),must met. (OBSIDIAN BLACK),22490
https://www.auto24.ee/soidukid/4232624,Skoda Kodiaq Ambition,2018,sõiduauto,universaal,2.0 TDi 110kW,diisel,85000,esivedu,automaat (DSG),hall met. (Metal Grey),22490
https://www.auto24.ee/soidukid/4248080,Subaru Outback LIMITED CVT,2022,sõiduauto,universaal,2.5 124kW,bensiin,167100,nelikvedu,automaat,pruun,22490
